name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
thalipeeth,"whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,spicy,main course,Maharashtra,West,AAYSNVZIHMM
undhiyu,"sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,spicy,main course,Gujarat,West,OFTWBaVC_gw
veg kolhapuri,"gobi, potato, beans, khus khus, coconut",vegetarian,20,30,spicy,main course,Maharashtra,West,F0Mpb6cZGxQ
vindaloo,"chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non-vegetarian,10,40,spicy,main course,Goa,West,7KDt6ZDYJpQ
lilva kachori,"green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,30,6,spicy,snack,Gujarat,West,HM1TjUfjS64
mag dhokli,"moong beans, jaggery, red chillies, oil, salt",vegetarian,-1,-1,spicy,snack,Gujarat,West,3q1TEXo6j6s
khichu,"rice flour, sesame seeds, baking soda, peanut oil",vegetarian,5,10,spicy,snack,Gujarat,West,c9TjyNF09kw
thepla,"chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,spicy,snack,Gujarat,West,C8MVLf0DBc8
farsi puri,"semolina, clarified butter, oil, white flour, black pepper",vegetarian,-1,-1,other,snack,Gujarat,West,zqSgx8dEFSA
khaman,"yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,10,20,spicy,snack,Gujarat,West,loLfq8JvNAo
turiya patra vatana sabji,"ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,spicy,main course,Gujarat,West,n45Y-xXKv5A
churma ladoo,"whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,sweet,dessert,Rajasthan,West,-aWNGbAG8Hc
cheera doi,"rice, mango, curd",vegetarian,-1,-1,sweet,dessert,West Bengal,East,zwu4RXALAWA
gheela pitha,"sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,sweet,dessert,Assam,North East,35Us5HBflMY
khar,"raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,other,main course,Assam,North East,K-V_TUiAyA0
kumol sawul,"rice, eggs, carrot, beetroot",non-vegetarian,-1,-1,spicy,main course,Assam,North East,_CdjolKWVG8
luchi,"maida, vegetable oil",vegetarian,20,30,other,main course,West Bengal,East,qH1kB0u35dI
alu pitika,"potatoes, mustard oil, fish, green chillies",non-vegetarian,5,20,spicy,main course,Assam,North East,iH8H54MUdp8
masor tenga,"ridge gourd, fish, lemon, tomatoes, mustard oil",non-vegetarian,15,25,spicy,main course,Assam,North East,6PZjSF68fLI
bengena pitika,"brinjal, onions, salt, sesame seeds, coriander",vegetarian,-1,-1,other,main course,Assam,North East,sVdyzo-wfNo
bilahi maas,"potatoes, garam masala, tomatoes, mustard oil, bay leaf",non-vegetarian,10,20,other,main course,Assam,North East,-eF_WzogZfA
black rice,"forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non-vegetarian,-1,-1,other,main course,Manipur,North East,Kd2LmyhIYkk
bora sawul,"biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,-1,-1,spicy,main course,Assam,North East,dYiFwcFdsZs
brown rice,"brown rice, soy sauce, olive oil",vegetarian,15,25,other,main course,All State,All Region,eZFNkCAd1ss
chingri malai curry,"coconut milk, lobster, fresh green chilli, ginger, red onion",non-vegetarian,10,40,spicy,main course,West Bengal,East,TCkE1ZNRC5M
goja,"baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,sweet,dessert,West Bengal,East,XKEy4CHo4cc
hando guri,"jaggery, raisins",vegetarian,-1,-1,sweet,dessert,Assam,North East,Kr9icH3B9lc
haq maas,"lamb, garam masala powder, curd, turmeric, bay leaf",non-vegetarian,20,40,spicy,main course,Assam,North East,XRszENEcOkA
chingri bhape,"coconut, prawns, curd, mustard seed, green chili",non-vegetarian,15,30,other,main course,West Bengal,East,W4POHmKypkc
kabiraji,"fish fillet, besan, lemon, mint, ginger",non-vegetarian,-1,-1,spicy,main course,West Bengal,East,NzH3EzqOCVE
khorisa,"fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,-1,-1,spicy,main course,Assam,North East,VrAtfBp_A88
koldil chicken,"banana flower, chicken, green chili, mustard oil, lemon juice",non-vegetarian,-1,-1,spicy,main course,Assam,North East,mPmIqlfrpLE
konir dom,"aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non-vegetarian,-1,-1,spicy,main course,Assam,North East,wTncN_KLVY4
koldil duck,"rice flour, mutton, banana, gram flour, olive oil, baking powder",non-vegetarian,-1,-1,spicy,main course,Assam,North East,l9qzZ9TODM4
masor koni,"fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non-vegetarian,-1,-1,spicy,main course,Assam,North East,3FgW2_FESVc
mishti chholar dal,"chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,West Bengal,East,MtcAg-5SeT8
pakhala,"curd, cooked rice, curry leaves, dry chilli",vegetarian,-1,-1,other,main course,Odisha,East,NpMlGyEBEKo
pani pitha,"tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,other,main course,Assam,North East,d1YtfsDq4Jk
payokh,"basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,-1,-1,sweet,dessert,Assam,North East,rsbSMr11I9c
prawn malai curry,"coconut milk, prawns, garlic, turmeric, sugar",non-vegetarian,15,50,spicy,main course,West Bengal,East,850UwVgrC5c
red rice,"red pepper, red onion, butter, watercress, olive oil",vegetarian,-1,-1,other,main course,All State,All Region,jyREjg2ONUg
shukto,"green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East,Ia2MzLxJhno
til pitha,"glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,Assam,North East,r0KCvJfLSCw
bebinca,"coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West,87ZtFqUWooo
shufta,"cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,-1,-1,sweet,dessert,Jammu & Kashmir,North,nfPcAjrUccU
mawa bati,"milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,sweet,dessert,Madhya Pradesh,Central,077aoqXD4fc
pinaca,"brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,-1,-1,sweet,dessert,Goa,West,Se8fKCPa6kE
